1;1) Valle d'Aosta, Piemonte, Lombardia, Trentino Alto Adige, Veneto, Friuli Venezia Giulia (esclusa pv. TS);25;1000;0,010
2;2) Emilia Romagna;25;750;0,015
3;3) Toscana, Marche, Umbria, Lazio, Abruzzo, Molise, Puglia, Campania, Basilicata, Calabria (esclusa pv. RC);27;500;0,020
4;4) Sicilia, provincia di Reggio Calabria;28;500;0,020
5;5) Sardegna (zona ad oriente della retta congiungente Capo Teulada con l'Isola della Maddalena);28;750;0,015
6;6) Sardegna (zona ad occidente della retta congiungente Capo Teulada con l'Isola della Maddalena);28;500;0,020
7;7) Liguria;28;1000;0,015
8;8) Provincia di Trieste;30;1500;0,010
9;9) Isole (escluse la Sicilia e la Sardegna), mare aperto;31;500;0,020
